Visit Name,Day From Baseline,Window Minus,Window Plus,Protocol Version
Prescreening,-45,2,2,v6.0 OCT2025
Baseline D0,-1,0,0,v6.0 OCT2025
Randomization D1,0,0,0,v6.0 OCT2025
Safety Call D2,1,2,2,v6.0 OCT2025
Safety Call D3,2,2,2,v6.0 OCT2025
Safety Call D4,3,2,2,v6.0 OCT2025
Safety Call D7,6,2,2,v6.0 OCT2025
Safety Call D10,9,2,2,v6.0 OCT2025
Safety and Scales In Clinic D14,13,2,2,v6.0 OCT2025
Safety Call D17,15,2,2,v6.0 OCT2025
Safety Call D20,19,2,2,v6.0 OCT2025
Safety Call D23,22,2,2,v6.0 OCT2025
Safety Call D26,25,2,2,v6.0 OCT2025
Safety and Scales Video Call or In Clinic D28,27,2,2,v6.0 OCT2025
Safety Call D31,30,2,2,v6.0 OCT2025
Safety Call D34,33,2,2,v6.0 OCT2025
Safety Call D37,36,2,2,v6.0 OCT2025
Safety Call D40,39,2,2,v6.0 OCT2025
EOT In Clinic D42,41,2,2,v6.0 OCT2025
Safety Follow Up Call EOT ,45,2,2,v6.0 OCT2025






